Generation,Score Fitness,Min Fitness,Max Fitness,Mean Fitness
0,"[0.0009613254128395734, 0.0013727564473457591, 0.001601182849556701, 0.0016952104088345647, 0.001441295342339361, 0.0012013680396427964, 0.001800970245417598, 0.0015170379130057395, 0.0011533687428709086, 0.0012535359562344671, 0.0013727564473457593, 0.0010299207931115692, 0.0011533687428709086, 0.001601182849556701, 0.0013727564473457595, 0.0012013680396427962, 0.0015170379130057395, 0.001601182849556701, 0.0010299207931115692, 0.001601182849556701, 0.0011090576047749273, 0.0010680252676182685, 0.0011090576047749273, 0.0013104401958858502, 0.0016952104088345649, 0.0012013680396427962, 0.0013104401958858502, 0.0012535359562344673, 0.0013104401958858502, 0.0012013680396427964, 0.0013727564473457593, 0.0011533687428709086, 0.0009613254128395731, 0.0011533687428709086, 0.0012013680396427962, 0.0015170379130057395, 0.0010299207931115694, 0.0011533687428709086, 0.001253535956234467, 0.0015170379130057397, 0.0015170379130057395, 0.0015170379130057397, 0.0010680252676182687, 0.0011533687428709088, 0.0013727564473457595, 0.001201368039642796, 0.001441295342339361, 0.0011533687428709086, 0.0010680252676182685, 0.0016011828495567009, 0.0013727564473457593, 0.001800970245417598, 0.0012535359562344671, 0.0013104401958858502, 0.0016011828495567009, 0.0012013680396427964, 0.0015170379130057395, 0.001441295342339361, 0.0012013680396427962, 0.0011533687428709088, 0.0011533687428709086, 0.0013104401958858502, 0.0015170379130057397, 0.0013104401958858505, 0.0013104401958858502, 0.0011533687428709088, 0.000994441600110532, 0.001601182849556701, 0.0012535359562344671, 0.0014412953423393608, 0.0013104401958858505, 0.0012013680396427962, 0.0011533687428709088, 0.0012013680396427964, 0.0013727564473457593, 0.001601182849556701, 0.0015170379130057395, 0.0016011828495567013, 0.0013104401958858505, 0.001109057604774927, 0.0014412953423393613, 0.0013727564473457595, 0.0010299207931115692, 0.001109057604774927, 0.0011533687428709086, 0.0013727564473457593, 0.001601182849556701, 0.0012013680396427962, 0.0011090576047749273, 0.0012535359562344673, 0.0013104401958858505, 0.001201368039642796, 0.0010299207931115694, 0.0013104401958858502, 0.001601182849556701, 0.0012535359562344673, 0.0012013680396427962, 0.0010299207931115694, 0.0010680252676182685, 0.0016952104088345649]",0.0009613254128395731,0.001800970245417598,0.0013107701857432254
1,"[0.0015170379130057397, 0.0013104401958858505, 0.001601182849556701, 0.0019208043076850772, 0.0013727564473457593, 0.0012535359562344673, 0.001441295342339361, 0.0014412953423393608, 0.0019208043076850772, 0.0013727564473457595, 0.001441295342339361, 0.0011533687428709088, 0.0012535359562344673, 0.0011533687428709088, 0.0014412953423393608, 0.0013727564473457591, 0.001601182849556701, 0.0015170379130057397, 0.0013727564473457593, 0.0011533687428709088, 0.0016011828495567009, 0.0013727564473457595, 0.001601182849556701, 0.001441295342339361, 0.0018009702454175984, 0.0013104401958858502, 0.0013727564473457595, 0.0013727564473457595, 0.0016952104088345647, 0.0011090576047749273, 0.0016952104088345649, 0.0015170379130057395, 0.001601182849556701, 0.0018009702454175984, 0.001201368039642796, 0.0019208043076850772, 0.0012535359562344673, 0.001601182849556701, 0.0012013680396427962, 0.0013727564473457595, 0.0015170379130057397, 0.001601182849556701, 0.001441295342339361, 0.0011533687428709088, 0.0013727564473457593, 0.001441295342339361, 0.001441295342339361, 0.0013727564473457595, 0.0012535359562344671, 0.001601182849556701, 0.0010680252676182685, 0.0015170379130057395, 0.0012013680396427962, 0.001372756447345759, 0.0013727564473457593, 0.001441295342339361, 0.0015170379130057397, 0.0012535359562344673, 0.0013104401958858505, 0.0012535359562344671, 0.001109057604774927, 0.0016952104088345649, 0.0012013680396427964, 0.0013727564473457593, 0.0013104401958858502, 0.0013727564473457593, 0.0014412953423393608, 0.0013104401958858502, 0.0011533687428709086, 0.0014412953423393608, 0.0012535359562344671, 0.0013727564473457593, 0.0012535359562344671, 0.002057722295244817, 0.0012535359562344671, 0.0016952104088345649, 0.0012535359562344673, 0.0010299207931115692, 0.001441295342339361, 0.0012013680396427964, 0.0018009702454175975, 0.0019208043076850772, 0.001201368039642796, 0.0010299207931115692, 0.0013104401958858505, 0.0010299207931115694, 0.0015170379130057395, 0.0013104401958858502, 0.0012013680396427962, 0.0011533687428709088, 0.0013727564473457595, 0.0011533687428709086, 0.0012535359562344673, 0.0011090576047749273, 0.0011533687428709086, 0.0011090576047749273, 0.001517037913005739, 0.002057722295244816, 0.0012013680396427962, 0.0015170379130057395]",0.0010299207931115692,0.002057722295244817,0.0014009875468787313
2,"[0.0012535359562344673, 0.001517037913005739, 0.001441295342339361, 0.0012535359562344673, 0.001109057604774927, 0.0013104401958858502, 0.002057722295244816, 0.0012535359562344673, 0.0019208043076850772, 0.0013104401958858505, 0.001601182849556701, 0.0019208043076850772, 0.0015170379130057397, 0.0011533687428709086, 0.001441295342339361, 0.0015170379130057395, 0.0019208043076850772, 0.0019208043076850772, 0.001441295342339361, 0.0013104401958858502, 0.0019208043076850772, 0.0012535359562344671, 0.001601182849556701, 0.0019208043076850768, 0.0018009702454175984, 0.0013727564473457593, 0.0013727564473457595, 0.0015170379130057395, 0.001441295342339361, 0.0015170379130057397, 0.001029920793111569, 0.001441295342339361, 0.0018009702454175984, 0.001800970245417598, 0.0023998529726244394, 0.0014412953423393608, 0.0018009702454175984, 0.0016952104088345649, 0.0013727564473457593, 0.001601182849556701, 0.0013104401958858505, 0.001441295342339361, 0.0016952104088345647, 0.0016952104088345647, 0.001441295342339361, 0.0013727564473457595, 0.001601182849556701, 0.0013727564473457591, 0.002057722295244816, 0.0010299207931115694, 0.0014412953423393613, 0.0015170379130057395, 0.0012535359562344671, 0.001800970245417598, 0.0015170379130057395, 0.0014412953423393608, 0.0013727564473457595, 0.0022156579172871076, 0.0013104401958858505, 0.0010680252676182687, 0.0013104401958858502, 0.001800970245417598, 0.0016952104088345649, 0.0016952104088345649, 0.0013727564473457591, 0.0014412953423393608, 0.0018009702454175984, 0.0014412953423393608, 0.0013727564473457593, 0.0013104401958858505, 0.0016011828495567013, 0.0012535359562344673, 0.0014412953423393608, 0.001601182849556701, 0.0018009702454175984, 0.0013727564473457593, 0.0019208043076850772, 0.001441295342339361, 0.0013727564473457593, 0.0015170379130057395, 0.001109057604774927, 0.0013104401958858502, 0.0013727564473457593, 0.001441295342339361, 0.0014412953423393613, 0.0013727564473457591, 0.0016952104088345649, 0.0013104401958858507, 0.001800970245417598, 0.0013727564473457591, 0.001601182849556701, 0.001441295342339361, 0.0019208043076850772, 0.0011533687428709086, 0.001441295342339361, 0.001601182849556701, 0.001601182849556701, 0.0012535359562344673, 0.0016952104088345647, 0.0016011828495567009]",0.001029920793111569,0.0023998529726244394,0.0015233130979544543
3,"[0.0013104401958858502, 0.0013727564473457595, 0.001601182849556701, 0.001800970245417598, 0.0015170379130057395, 0.0015170379130057397, 0.0015170379130057395, 0.0015170379130057397, 0.001601182849556701, 0.0018009702454175975, 0.0014412953423393613, 0.002057722295244817, 0.0013104401958858502, 0.0015170379130057397, 0.0013727564473457593, 0.0016952104088345647, 0.0019208043076850772, 0.0013104401958858502, 0.0020577222952448166, 0.001441295342339361, 0.0013727564473457593, 0.0012535359562344673, 0.001800970245417598, 0.0016952104088345649, 0.0016952104088345647, 0.0016952104088345649, 0.0020577222952448166, 0.0013727564473457593, 0.001441295342339361, 0.001201368039642796, 0.0012013680396427962, 0.0018009702454175984, 0.0016952104088345647, 0.002057722295244816, 0.0015170379130057395, 0.0016011828495567009, 0.0019208043076850772, 0.0013104401958858502, 0.001601182849556701, 0.001441295342339361, 0.001601182849556701, 0.0012535359562344671, 0.001601182849556701, 0.0016952104088345649, 0.0013104401958858502, 0.001800970245417598, 0.0022156579172871067, 0.0015170379130057395, 0.001800970245417598, 0.00239985297262444, 0.0013727564473457595, 0.0014412953423393608, 0.0018009702454175984, 0.0023998529726244394, 0.001800970245417598, 0.0013104401958858505, 0.0016952104088345649, 0.0019208043076850772, 0.0013727564473457595, 0.0015170379130057395, 0.0019208043076850772, 0.0019208043076850772, 0.0022156579172871076, 0.001601182849556701, 0.0012535359562344673, 0.0013727564473457593, 0.0016952104088345647, 0.0016011828495567009, 0.0019208043076850772, 0.0013104401958858502, 0.0013727564473457595, 0.001517037913005739, 0.0015170379130057395, 0.0016952104088345649, 0.0019208043076850772, 0.0014412953423393613, 0.0016011828495567013, 0.002057722295244816, 0.0016952104088345647, 0.0016952104088345647, 0.0013104401958858502, 0.0019208043076850768, 0.0016952104088345649, 0.0020577222952448166, 0.0013727564473457595, 0.0015170379130057395, 0.001800970245417598, 0.001441295342339361, 0.0018009702454175984, 0.0022156579172871076, 0.0026174503795835576, 0.0015170379130057395, 0.0012535359562344673, 0.0015170379130057395, 0.0019208043076850772, 0.0023998529726244394, 0.002057722295244816, 0.002057722295244816, 0.002057722295244816, 0.0019208043076850772]",0.001201368039642796,0.0026174503795835576,0.0016702016955244562
4,"[0.0016952104088345649, 0.0019208043076850772, 0.0016952104088345649, 0.001800970245417598, 0.0015170379130057397, 0.0015170379130057395, 0.0015170379130057397, 0.0020577222952448166, 0.0016952104088345649, 0.002057722295244816, 0.001441295342339361, 0.0015170379130057395, 0.0016011828495567009, 0.001601182849556701, 0.001800970245417598, 0.0015170379130057397, 0.001800970245417598, 0.0015170379130057395, 0.001800970245417598, 0.0015170379130057395, 0.0014412953423393613, 0.002878441999631459, 0.0016952104088345649, 0.001601182849556701, 0.0018009702454175984, 0.00131044019588585, 0.0020577222952448166, 0.0019208043076850772, 0.002057722295244816, 0.0019208043076850776, 0.0022156579172871076, 0.0019208043076850772, 0.0016011828495567013, 0.0016952104088345649, 0.0015170379130057395, 0.0019208043076850772, 0.0013727564473457593, 0.001601182849556701, 0.0013104401958858505, 0.0018009702454175984, 0.001441295342339361, 0.0016952104088345647, 0.0012013680396427964, 0.0018009702454175984, 0.002617450379583557, 0.0015170379130057395, 0.00239985297262444, 0.001441295342339361, 0.0011090576047749273, 0.001800970245417598, 0.0014412953423393608, 0.0016952104088345649, 0.0012013680396427962, 0.0016952104088345647, 0.002215657917287107, 0.0014412953423393608, 0.0020577222952448166, 0.0015170379130057395, 0.001800970245417598, 0.0013727564473457593, 0.0012535359562344673, 0.0019208043076850772, 0.0015170379130057395, 0.0015170379130057397, 0.001800970245417598, 0.001601182849556701, 0.0019208043076850772, 0.0015170379130057395, 0.0019208043076850768, 0.0013727564473457593, 0.0019208043076850772, 0.0016952104088345649, 0.0023998529726244394, 0.0016011828495567009, 0.002057722295244816, 0.0016011828495567013, 0.001601182849556701, 0.0019208043076850772, 0.0019208043076850772, 0.00239985297262444, 0.0018009702454175984, 0.001800970245417598, 0.0019208043076850772, 0.0016952104088345647, 0.0013727564473457593, 0.001601182849556701, 0.001441295342339361, 0.0023998529726244394, 0.0020577222952448166, 0.001441295342339361, 0.002057722295244816, 0.001800970245417598, 0.0016952104088345649, 0.001601182849556701, 0.0019208043076850768, 0.0020577222952448166, 0.001441295342339361, 0.0015170379130057395, 0.0022156579172871076, 0.001601182849556701]",0.0011090576047749273,0.002878441999631459,0.0017359378124555721
5,"[0.001800970245417598, 0.0016952104088345649, 0.0020577222952448166, 0.001441295342339361, 0.0015170379130057395, 0.0019208043076850772, 0.0019208043076850772, 0.002057722295244816, 0.0019208043076850772, 0.001800970245417598, 0.0019208043076850772, 0.0019208043076850772, 0.001800970245417598, 0.001601182849556701, 0.0019208043076850772, 0.0013727564473457593, 0.0028784419996314586, 0.0019208043076850772, 0.0019208043076850772, 0.0013727564473457593, 0.0015170379130057397, 0.0018009702454175984, 0.0018009702454175975, 0.002215657917287107, 0.0016011828495567013, 0.001800970245417598, 0.0014412953423393608, 0.002215657917287107, 0.0018009702454175984, 0.0022156579172871076, 0.0020577222952448166, 0.0019208043076850776, 0.0013727564473457593, 0.002057722295244816, 0.002399852972624439, 0.0016952104088345649, 0.0016011828495567013, 0.001800970245417598, 0.001601182849556701, 0.0018009702454175984, 0.0018009702454175984, 0.0019208043076850772, 0.002057722295244816, 0.0019208043076850768, 0.0020577222952448166, 0.0019208043076850772, 0.0020577222952448166, 0.0020577222952448166, 0.0015170379130057397, 0.0020577222952448166, 0.0016952104088345649, 0.0020577222952448166, 0.0018009702454175984, 0.002057722295244816, 0.001601182849556701, 0.0019208043076850772, 0.001441295342339361, 0.0019208043076850768, 0.0012535359562344673, 0.0023998529726244394, 0.0018009702454175984, 0.0015170379130057397, 0.001601182849556701, 0.0013727564473457595, 0.0016011828495567009, 0.0015170379130057397, 0.0016011828495567009, 0.001601182849556701, 0.002057722295244817, 0.0011533687428709088, 0.0022156579172871067, 0.0023998529726244394, 0.002057722295244816, 0.0016952104088345647, 0.0015170379130057397, 0.0022156579172871076, 0.001800970245417598, 0.0016011828495567009, 0.001800970245417598, 0.0026174503795835576, 0.001800970245417598, 0.0013104401958858505, 0.0015170379130057395, 0.0013104401958858502, 0.0020577222952448166, 0.0016952104088345647, 0.0015170379130057395, 0.001800970245417598, 0.0015170379130057397, 0.0014412953423393608, 0.0015170379130057395, 0.002057722295244816, 0.0016952104088345649, 0.0020577222952448166, 0.002057722295244817, 0.00239985297262444, 0.002215657917287107, 0.002215657917287107, 0.0019208043076850772, 0.0026174503795835576]",0.0011533687428709088,0.0028784419996314586,0.0018346868995967505
6,"[0.0018009702454175984, 0.002215657917287107, 0.0016011828495567009, 0.0019208043076850772, 0.0020577222952448166, 0.001601182849556701, 0.0015170379130057397, 0.0019208043076850776, 0.001441295342339361, 0.0013727564473457593, 0.0020577222952448166, 0.001601182849556701, 0.0022156579172871076, 0.0015170379130057397, 0.0022156579172871076, 0.001800970245417598, 0.0019208043076850772, 0.0018009702454175984, 0.0019208043076850772, 0.0023998529726244394, 0.0022156579172871067, 0.0022156579172871076, 0.001800970245417598, 0.0026174503795835576, 0.0028784419996314586, 0.0019208043076850772, 0.0026174503795835576, 0.0019208043076850768, 0.002057722295244817, 0.0016952104088345649, 0.001800970245417598, 0.001441295342339361, 0.0019208043076850772, 0.001441295342339361, 0.001800970245417598, 0.002215657917287107, 0.001601182849556701, 0.0013727564473457593, 0.001441295342339361, 0.001601182849556701, 0.002617450379583557, 0.001441295342339361, 0.0016952104088345649, 0.0028784419996314586, 0.0026174503795835576, 0.00239985297262444, 0.0016952104088345649, 0.0018009702454175984, 0.0020577222952448166, 0.0018009702454175984, 0.0020577222952448166, 0.001800970245417598, 0.0019208043076850772, 0.0023998529726244394, 0.0015170379130057397, 0.0016952104088345647, 0.0018009702454175984, 0.0019208043076850772, 0.001601182849556701, 0.00239985297262444, 0.0013727564473457595, 0.0022156579172871067, 0.002057722295244816, 0.0022156579172871076, 0.001800970245417598, 0.0022156579172871076, 0.002215657917287107, 0.002057722295244817, 0.001601182849556701, 0.0013727564473457593, 0.0020577222952448166, 0.0015170379130057395, 0.0018009702454175984, 0.0020577222952448166, 0.0019208043076850772, 0.0014412953423393608, 0.0020577222952448166, 0.001800970245417598, 0.0019208043076850772, 0.0020577222952448166, 0.0018009702454175984, 0.0019208043076850772, 0.0019208043076850772, 0.0015170379130057395, 0.0018009702454175984, 0.0022156579172871067, 0.001800970245417598, 0.0022156579172871067, 0.001601182849556701, 0.001800970245417598, 0.0020577222952448166, 0.0020577222952448166, 0.0019208043076850772, 0.0020577222952448166, 0.001601182849556701, 0.0016952104088345649, 0.0022156579172871076, 0.0020577222952448166, 0.0020577222952448166, 0.002057722295244816]",0.0013727564473457593,0.0028784419996314586,0.0019172936893031044
7,"[0.0028784419996314586, 0.002057722295244817, 0.0019208043076850772, 0.0022156579172871076, 0.0019208043076850772, 0.0015170379130057395, 0.0022156579172871076, 0.0026174503795835576, 0.0023998529726244394, 0.001601182849556701, 0.0016952104088345649, 0.0019208043076850772, 0.0018009702454175984, 0.0026174503795835576, 0.0019208043076850772, 0.0015170379130057395, 0.0012535359562344673, 0.0028784419996314586, 0.0019208043076850772, 0.0022156579172871076, 0.00239985297262444, 0.00239985297262444, 0.00239985297262444, 0.0019208043076850772, 0.002057722295244816, 0.001800970245417598, 0.0020577222952448166, 0.0028784419996314586, 0.0015170379130057395, 0.0026174503795835576, 0.0020577222952448166, 0.0020577222952448166, 0.002057722295244817, 0.001800970245417598, 0.0015170379130057397, 0.0022156579172871067, 0.002057722295244817, 0.0016011828495567013, 0.0015170379130057397, 0.0023998529726244394, 0.0022156579172871076, 0.0015170379130057395, 0.0015170379130057395, 0.0019208043076850776, 0.0016952104088345649, 0.002215657917287107, 0.0022156579172871067, 0.002057722295244816, 0.0016952104088345649, 0.001601182849556701, 0.001800970245417598, 0.0013104401958858502, 0.0013727564473457595, 0.001601182849556701, 0.0020577222952448166, 0.001601182849556701, 0.001441295342339361, 0.0022156579172871076, 0.002057722295244816, 0.0022156579172871076, 0.0020577222952448166, 0.002215657917287107, 0.0015170379130057397, 0.0022156579172871067, 0.002617450379583557, 0.0020577222952448166, 0.0028784419996314586, 0.0026174503795835576, 0.002057722295244817, 0.00239985297262444, 0.001800970245417598, 0.0019208043076850772, 0.00239985297262444, 0.0019208043076850772, 0.0020577222952448166, 0.0022156579172871076, 0.0013727564473457593, 0.0016952104088345649, 0.0019208043076850772, 0.002215657917287107, 0.00239985297262444, 0.0028784419996314586, 0.0016952104088345647, 0.0023998529726244394, 0.0015170379130057395, 0.001800970245417598, 0.0018009702454175984, 0.001601182849556701, 0.002215657917287107, 0.001800970245417598, 0.002399852972624439, 0.0028784419996314586, 0.0020577222952448166, 0.00239985297262444, 0.0019208043076850772, 0.002057722295244816, 0.001800970245417598, 0.0022156579172871076, 0.002215657917287107, 0.0022156579172871076]",0.0012535359562344673,0.0028784419996314586,0.002031708822533834
8,"[0.0016011828495567009, 0.0018009702454175984, 0.0019208043076850772, 0.0022156579172871076, 0.0016952104088345649, 0.0026174503795835576, 0.0026174503795835576, 0.0026174503795835576, 0.0015170379130057397, 0.0016952104088345647, 0.0026174503795835576, 0.0020577222952448166, 0.002215657917287107, 0.0016952104088345647, 0.002057722295244816, 0.0020577222952448166, 0.0015170379130057397, 0.002057722295244817, 0.00239985297262444, 0.0019208043076850768, 0.0015170379130057397, 0.0019208043076850772, 0.0023998529726244394, 0.0019208043076850772, 0.0020577222952448166, 0.0028784419996314586, 0.0026174503795835576, 0.0016952104088345649, 0.0015170379130057395, 0.002878441999631459, 0.0026174503795835576, 0.001800970245417598, 0.002215657917287107, 0.0016011828495567009, 0.0026174503795835576, 0.0019208043076850772, 0.0020577222952448166, 0.0023998529726244394, 0.0026174503795835576, 0.001800970245417598, 0.00239985297262444, 0.0019208043076850772, 0.002057722295244817, 0.0019208043076850772, 0.0026174503795835576, 0.002057722295244816, 0.001800970245417598, 0.0020577222952448166, 0.0022156579172871067, 0.00239985297262444, 0.001800970245417598, 0.0015170379130057397, 0.0028784419996314586, 0.00239985297262444, 0.00239985297262444, 0.0018009702454175984, 0.0023998529726244394, 0.0019208043076850772, 0.0026174503795835576, 0.0022156579172871076, 0.0022156579172871076, 0.001800970245417598, 0.0022156579172871076, 0.0019208043076850772, 0.002215657917287107, 0.0020577222952448166, 0.001800970245417598, 0.0023998529726244394, 0.001800970245417598, 0.0023998529726244394, 0.002057722295244816, 0.0018009702454175984, 0.00239985297262444, 0.0018009702454175984, 0.0020577222952448166, 0.002215657917287107, 0.001800970245417598, 0.002057722295244817, 0.0019208043076850772, 0.0023998529726244394, 0.002215657917287107, 0.002215657917287107, 0.0028784419996314586, 0.0016952104088345649, 0.0016952104088345647, 0.002215657917287107, 0.0020577222952448166, 0.0019208043076850772, 0.002057722295244816, 0.0022156579172871076, 0.001800970245417598, 0.0022156579172871067, 0.001441295342339361, 0.0022156579172871076, 0.0016011828495567013, 0.0020577222952448166, 0.0019208043076850772, 0.001601182849556701, 0.002057722295244817, 0.0026174503795835576]",0.001441295342339361,0.002878441999631459,0.0020938484926515868
9,"[0.001800970245417598, 0.0023998529726244394, 0.002215657917287107, 0.002215657917287107, 0.002878441999631459, 0.0016952104088345647, 0.002215657917287107, 0.002215657917287107, 0.0018009702454175984, 0.0015170379130057395, 0.0026174503795835576, 0.0023998529726244394, 0.0016952104088345649, 0.002617450379583557, 0.0022156579172871067, 0.0019208043076850772, 0.0019208043076850772, 0.00239985297262444, 0.0019208043076850772, 0.001601182849556701, 0.0015170379130057397, 0.0019208043076850772, 0.0023998529726244394, 0.0016952104088345649, 0.0026174503795835576, 0.00239985297262444, 0.0026174503795835576, 0.002878441999631459, 0.0022156579172871076, 0.001601182849556701, 0.002399852972624439, 0.0023998529726244394, 0.002215657917287107, 0.0016952104088345649, 0.002057722295244816, 0.0016952104088345649, 0.0019208043076850772, 0.0022156579172871076, 0.0023998529726244394, 0.002878441999631459, 0.0019208043076850772, 0.0020577222952448166, 0.0019208043076850772, 0.002057722295244816, 0.0026174503795835576, 0.0019208043076850772, 0.0016952104088345647, 0.0015170379130057395, 0.002057722295244816, 0.002617450379583558, 0.001601182849556701, 0.0026174503795835576, 0.0019208043076850772, 0.002057722295244816, 0.00239985297262444, 0.002215657917287107, 0.0016952104088345649, 0.0026174503795835576, 0.0020577222952448166, 0.0016952104088345647, 0.00239985297262444, 0.0020577222952448166, 0.002215657917287107, 0.0026174503795835576, 0.0020577222952448166, 0.001800970245417598, 0.00239985297262444, 0.002878441999631459, 0.0022156579172871076, 0.0016952104088345649, 0.0023998529726244394, 0.0019208043076850772, 0.0018009702454175984, 0.0019208043076850772, 0.0019208043076850772, 0.0019208043076850772, 0.0026174503795835576, 0.0020577222952448166, 0.002617450379583557, 0.00239985297262444, 0.002057722295244816, 0.0020577222952448166, 0.001601182849556701, 0.0023998529726244394, 0.001800970245417598, 0.0019208043076850772, 0.00239985297262444, 0.002057722295244816, 0.002057722295244817, 0.0019208043076850772, 0.00239985297262444, 0.0020577222952448166, 0.0020577222952448166, 0.0019208043076850768, 0.001800970245417598, 0.0026174503795835576, 0.00239985297262444, 0.0026174503795835576, 0.0022156579172871076, 0.0023998529726244394]",0.0015170379130057395,0.002878441999631459,0.0021394313508869144
